file,start_line,end_line,kind,name,category
AsymptoticSpectra/AsymptoticClosure.lean,27,30,def,IsSubexponential,A
AsymptoticSpectra/AsymptoticClosure.lean,32,78,lemma,isSubexponential_iff_exists_constant,A
AsymptoticSpectra/AsymptoticClosure.lean,80,89,lemma,IsSubexponential.const,A
AsymptoticSpectra/AsymptoticClosure.lean,91,91,lemma,IsSubexponential.const_one,A
AsymptoticSpectra/AsymptoticClosure.lean,93,110,lemma,IsSubexponential.linear,A
AsymptoticSpectra/AsymptoticClosure.lean,112,135,lemma,IsSubexponential.mul,A
AsymptoticSpectra/AsymptoticClosure.lean,137,153,lemma,IsSubexponential.sup_prefix,A
AsymptoticSpectra/AsymptoticClosure.lean,155,157,def,AsymptoticLe,A
AsymptoticSpectra/AsymptoticClosure.lean,159,162,lemma,AsymptoticLe.refl,A
AsymptoticSpectra/AsymptoticClosure.lean,164,176,lemma,AsymptoticLe.of_le,A
AsymptoticSpectra/AsymptoticClosure.lean,178,191,lemma,AsymptoticLe.trans,A
AsymptoticSpectra/AsymptoticClosure.lean,193,254,lemma,AsymptoticLe.nat_order_embedding,A
AsymptoticSpectra/AsymptoticClosure.lean,256,267,lemma,sum_le_sum_P,A
AsymptoticSpectra/AsymptoticClosure.lean,269,321,def,asymptoticClosure,A
AsymptoticSpectra/AsymptoticClosure.lean,323,324,theorem,le_asymptoticClosure,A
AsymptoticSpectra/AsymptoticClosure.lean,326,328,def,IsClosed,A
AsymptoticSpectra/AsymptoticClosure.lean,330,332,def,IsClosedFixedPoint,A
AsymptoticSpectra/AsymptoticClosure.lean,334,336,theorem,isClosed_iff_fixedPoint,A
AsymptoticSpectra/AsymptoticClosure.lean,338,355,lemma,asymptoticLe_iff_relative_rank_subexponential,A
AsymptoticSpectra/AsymptoticClosure.lean,357,367,lemma,relative_rank_scale_le,A
AsymptoticSpectra/AsymptoticClosure.lean,369,557,theorem,asymptoticClosure_isClosed,A
AsymptoticSpectra/AsymptoticClosure.lean,559,560,def,IsMaximal,A
AsymptoticSpectra/AsymptoticClosure.lean,562,568,theorem,IsMaximal.IsClosed,A
AsymptoticSpectra/AsymptoticClosure.lean,570,600,theorem,multiplicative_cancellation,A
AsymptoticSpectra/AsymptoticClosure.lean,602,714,theorem,gap_property,A
AsymptoticSpectra/AsymptoticClosure.lean,717,738,theorem,additive_cancellation,A
AsymptoticSpectra/AsymptoticClosure.lean,740,758,theorem,rho_reflects_le,A
AsymptoticSpectra/AsymptoticClosure.lean,760,841,def,extensionBy,A
AsymptoticSpectra/AsymptoticClosure.lean,843,868,theorem,one_step_extension,A
AsymptoticSpectra/AsymptoticClosure.lean,870,906,def,chain_ub,A
AsymptoticSpectra/AsymptoticClosure.lean,908,929,theorem,total_extension,A
AsymptoticSpectra/AsymptoticClosure.lean,931,954,theorem,IsMaximal.IsTotal,A
AsymptoticSpectra/AsymptoticClosure.lean,956,1003,theorem,closed_strassen_preorder_eq_intersection_maximal,A
AsymptoticSpectra/AsymptoticClosure.lean,1005,1036,theorem,isMaximal_iff_isTotal_isClosed,A
AsymptoticSpectra/AsymptoticClosure.lean,1038,1046,lemma,asymptoticClosure_le_of_isClosed,A
AsymptoticSpectra/AsymptoticClosure.lean,1048,1063,theorem,asymptoticClosure_eq_intersection_total_closed,A
AsymptoticSpectra/Duality.lean,15,22,instance,P,A
AsymptoticSpectra/Duality.lean,24,39,lemma,subexp_rpow_eventually_le,A
AsymptoticSpectra/Duality.lean,41,102,lemma,asymptotic_rank_le_of_asymptoticLe_natCast,A
AsymptoticSpectra/Duality.lean,104,172,lemma,asymptotic_rank_pow,A
AsymptoticSpectra/Duality.lean,174,181,lemma,spectrum_eval_bddAbove,A
AsymptoticSpectra/Duality.lean,183,208,lemma,spectrum_apply_le_asymptotic_rank,A
AsymptoticSpectra/Duality.lean,210,221,lemma,one_le_sup_spectrum,A
AsymptoticSpectra/Duality.lean,223,238,theorem,asymptotic_le_iff_spectrum_le,A
AsymptoticSpectra/Duality.lean,240,366,theorem,asymptotic_rank_eq_max_spectrum,A
AsymptoticSpectra/Rank.lean,22,23,def,rank,B
AsymptoticSpectra/Rank.lean,25,29,theorem,rank_monotone,B
AsymptoticSpectra/Rank.lean,31,41,theorem,rank_subadditive,B
AsymptoticSpectra/Rank.lean,43,53,theorem,rank_submultiplicative,B
AsymptoticSpectra/Rank.lean,55,71,theorem,rank_one,B
AsymptoticSpectra/Rank.lean,73,74,def,IsGreatestNat,B
AsymptoticSpectra/Rank.lean,76,104,def,subrankData,B
AsymptoticSpectra/Rank.lean,106,108,def,subrank,B
AsymptoticSpectra/Rank.lean,110,111,theorem,le_subrank,B
AsymptoticSpectra/Rank.lean,113,114,theorem,subrank_maximal,B
AsymptoticSpectra/Rank.lean,116,121,theorem,subrank_le_iff,B
AsymptoticSpectra/Rank.lean,123,127,theorem,subrank_le_rank,B
AsymptoticSpectra/Rank.lean,129,133,theorem,subrank_monotone,B
AsymptoticSpectra/Rank.lean,135,145,theorem,subrank_superadditive,B
AsymptoticSpectra/Rank.lean,147,157,theorem,subrank_supermultiplicative,B
AsymptoticSpectra/Rank.lean,159,164,theorem,rank_pow_submultiplicative_base,A
AsymptoticSpectra/Rank.lean,166,182,theorem,rank_pow_ge_one,A
AsymptoticSpectra/Rank.lean,184,186,def,asymptotic_rank,A
AsymptoticSpectra/Rank.lean,188,195,theorem,tends_to_asymptotic_rank,A
AsymptoticSpectra/Rank.lean,197,205,theorem,exists_nat_mul_le,B
AsymptoticSpectra/Rank.lean,207,209,def,relative_rank,B
AsymptoticSpectra/Rank.lean,211,214,theorem,relative_rank_spec,B
AsymptoticSpectra/Rank.lean,216,220,theorem,relative_rank_le_of_le,B
AsymptoticSpectra/Rank.lean,222,225,theorem,relative_rank_mono_left,B
AsymptoticSpectra/Rank.lean,227,234,theorem,relative_rank_anti_right,B
AsymptoticSpectra/Rank.lean,236,252,theorem,relative_rank_submultiplicative,B
AsymptoticSpectra/Rank.lean,254,258,theorem,rank_eq_relative_rank,B
AsymptoticSpectra/Rank.lean,260,268,theorem,relative_rank_pow_submultiplicative,A
AsymptoticSpectra/Rank.lean,270,272,def,rho_set,A
AsymptoticSpectra/Rank.lean,274,276,def,kappa_set,A
AsymptoticSpectra/Rank.lean,278,279,def,rho,A
AsymptoticSpectra/Rank.lean,281,282,def,kappa,A
AsymptoticSpectra/Rank.lean,284,287,lemma,rho_set_nonempty,A
AsymptoticSpectra/Rank.lean,289,292,lemma,rho_set_bddBelow,A
AsymptoticSpectra/Rank.lean,294,296,lemma,kappa_set_nonempty,A
AsymptoticSpectra/Rank.lean,298,310,lemma,kappa_set_bddAbove,A
AsymptoticSpectra/Rank.lean,312,323,lemma,sInf_add_sInf_le,A
AsymptoticSpectra/Rank.lean,325,363,lemma,sInf_mul_sInf_le,A
AsymptoticSpectra/Rank.lean,365,376,lemma,csSup_add_le_csSup,A
AsymptoticSpectra/Rank.lean,378,405,lemma,csSup_mul_le_csSup,A
AsymptoticSpectra/Rank.lean,407,415,theorem,rho_monotone,A
AsymptoticSpectra/Rank.lean,417,428,theorem,rho_nat_cast,A
AsymptoticSpectra/Rank.lean,430,453,theorem,rho_add_le,A
AsymptoticSpectra/Rank.lean,455,479,theorem,rho_mul_le,A
AsymptoticSpectra/Rank.lean,481,489,theorem,kappa_monotone,A
AsymptoticSpectra/Rank.lean,491,502,theorem,kappa_nat_cast,A
AsymptoticSpectra/Rank.lean,504,529,theorem,kappa_add_ge,A
AsymptoticSpectra/Rank.lean,531,551,theorem,kappa_mul_ge,A
AsymptoticSpectra/Rank.lean,553,577,theorem,kappa_le_rho,A
AsymptoticSpectra/Rank.lean,579,618,theorem,rho_eq_kappa_of_total,A
AsymptoticSpectra/Rank.lean,620,625,theorem,rho_add,A
AsymptoticSpectra/Rank.lean,627,632,theorem,rho_mul,A
AsymptoticSpectra/Rank.lean,634,636,theorem,rho_zero,A
AsymptoticSpectra/Rank.lean,638,640,theorem,rho_one,A
AsymptoticSpectra/Rank.lean,642,650,def,rho_toRingHom,B
AsymptoticSpectra/Spectrum.lean,26,30,abbrev,AsymptoticSpectrumPoint,B
AsymptoticSpectra/Spectrum.lean,32,40,def,rho_asymptoticSpectrumPoint,B
AsymptoticSpectra/Spectrum.lean,42,44,abbrev,AsymptoticSpectrum,B
AsymptoticSpectra/Spectrum.lean,46,51,abbrev,MaxExtension,B
AsymptoticSpectra/Spectrum.lean,53,59,instance,P,B
AsymptoticSpectra/Spectrum.lean,61,65,instance,P,B
AsymptoticSpectra/Spectrum.lean,67,69,def,SpectrumBox,A
AsymptoticSpectra/Spectrum.lean,71,72,instance,P,A
AsymptoticSpectra/Spectrum.lean,74,75,instance,P,A
AsymptoticSpectra/Spectrum.lean,77,88,def,toBox,A
AsymptoticSpectra/Spectrum.lean,90,96,instance,P,A
AsymptoticSpectra/Spectrum.lean,97,98,theorem,ext,B
AsymptoticSpectra/Spectrum.lean,100,104,def,restrict,B
AsymptoticSpectra/Spectrum.lean,106,133,def,toStrassenPreorder,B
AsymptoticSpectra/Spectrum.lean,135,138,theorem,toStrassenPreorder_isTotal,B
AsymptoticSpectra/Spectrum.lean,140,192,theorem,toStrassenPreorder_isClosed,B
AsymptoticSpectra/Spectrum.lean,194,198,theorem,toStrassenPreorder_le,B
AsymptoticSpectra/Spectrum.lean,200,241,theorem,rho_of_toStrassenPreorder,A
AsymptoticSpectra/Spectrum.lean,243,246,def,spectrumToMaxExtension,B
AsymptoticSpectra/Spectrum.lean,248,252,def,maxExtensionToSpectrum,B
AsymptoticSpectra/Spectrum.lean,254,259,theorem,spectrum_left_inverse,B
AsymptoticSpectra/Spectrum.lean,261,270,theorem,spectrum_right_inverse,B
AsymptoticSpectra/Spectrum.lean,272,278,def,asymptoticSpectrumEquivMaxExtensions,B
AsymptoticSpectra/Spectrum.lean,280,282,theorem,continuous_eval,A
AsymptoticSpectra/Spectrum.lean,284,290,theorem,continuous_toBox,A
AsymptoticSpectra/Spectrum.lean,292,312,theorem,embedding_toBox,A
AsymptoticSpectra/Spectrum.lean,314,364,theorem,isClosed_range_toBox,A
AsymptoticSpectra/Spectrum.lean,366,367,instance,P,A
AsymptoticSpectra/Spectrum.lean,369,373,instance,P,A
AsymptoticSpectra/Spectrum.lean,375,376,instance,P,A
AsymptoticSpectra/Spectrum.lean,378,392,theorem,spectrumPoint_implies_nat_order_embedding,B
AsymptoticSpectra/Structures.lean,23,37,instance,(anonymous),B
AsymptoticSpectra/Structures.lean,39,48,instance,(anonymous),B
AsymptoticSpectra/Structures.lean,49,52,theorem,ext,B
AsymptoticSpectra/Structures.lean,54,58,theorem,zero_lt_one,B
AsymptoticSpectra/Structures.lean,60,70,def,activate,B
AsymptoticSpectra/Structures.lean,72,78,theorem,instCharZero,B
AsymptoticSpectra/Structures.lean,80,102,theorem,toNoZeroDivisors,B
AsymptoticSpectra/Structures.lean,104,106,theorem,mul_ne_zero,B
AsymptoticSpectra/Structures.lean,108,110,theorem,pow_ne_zero,B
AsymptoticSpectra/Structures.lean,112,116,def,IsTotal,B
AsymptoticSpectra/Submultiplicative.lean,9,15,def,IsSubmultiplicative,A
AsymptoticSpectra/Submultiplicative.lean,17,19,def,lim,A
AsymptoticSpectra/Submultiplicative.lean,21,78,theorem,tends_to_lim,A
AsymptoticSpectra/Tensor/BaseChange.lean,17,49,def,scalarExtensionMap,C
AsymptoticSpectra/Tensor/BaseChange.lean,51,68,def,baseChangeRearrange,C
AsymptoticSpectra/Tensor/BaseChange.lean,69,78,lemma,baseChangeRearrange_tmul,C
